subgroup_column,subgroup,n_test,recall,positive_rate,base_rate,dataset,condition,rate,seed,rule_set
marital,divorced,1308,0.5815602836879432,0.10321100917431193,0.10779816513761468,bank_marketing_full,quarantine,0.05,20260807,census_informed
age_band,30-44,5936,0.5736842105263158,0.09568733153638814,0.09602425876010781,bank_marketing_full,quarantine,0.05,20260807,census_informed
age_band,45-59,3395,0.5543175487465181,0.09366715758468336,0.10574374079528719,bank_marketing_full,quarantine,0.05,20260807,census_informed
age_band,<30,1699,0.6137184115523465,0.16244849911712772,0.16303708063566805,bank_marketing_full,quarantine,0.05,20260807,census_informed
age_band,60+,273,0.7413793103448276,0.5860805860805861,0.4249084249084249,bank_marketing_full,quarantine,0.05,20260807,census_informed
marital,single,3226,0.6701680672268907,0.15654060756354618,0.14755114693118412,bank_marketing_full,repair,0.05,20260807,census_informed
marital,married,6769,0.5617021276595745,0.10090116708524154,0.10415127788447333,bank_marketing_full,repair,0.05,20260807,census_informed
marital,divorced,1308,0.5957446808510638,0.10244648318042814,0.10779816513761468,bank_marketing_full,repair,0.05,20260807,census_informed
age_band,30-44,5936,0.5929824561403508,0.09703504043126684,0.09602425876010781,bank_marketing_full,repair,0.05,20260807,census_informed
age_band,45-59,3395,0.5376044568245125,0.0898379970544919,0.10574374079528719,bank_marketing_full,repair,0.05,20260807,census_informed
age_band,<30,1699,0.6389891696750902,0.17010005885815185,0.16303708063566805,bank_marketing_full,repair,0.05,20260807,census_informed
age_band,60+,273,0.7844827586206896,0.5567765567765568,0.4249084249084249,bank_marketing_full,repair,0.05,20260807,census_informed
marital,single,3226,0.6386554621848739,0.15034097954122752,0.14755114693118412,bank_marketing_full,clean,0.1,20260803,census_informed
marital,married,6769,0.5829787234042553,0.10415127788447333,0.10415127788447333,bank_marketing_full,clean,0.1,20260803,census_informed
marital,divorced,1308,0.574468085106383,0.10091743119266056,0.10779816513761468,bank_marketing_full,clean,0.1,20260803,census_informed
age_band,30-44,5936,0.5894736842105263,0.09669811320754718,0.09602425876010781,bank_marketing_full,clean,0.1,20260803,census_informed
age_band,45-59,3395,0.5487465181058496,0.09455081001472754,0.10574374079528719,bank_marketing_full,clean,0.1,20260803,census_informed
age_band,<30,1699,0.6353790613718412,0.1618599175985874,0.16303708063566805,bank_marketing_full,clean,0.1,20260803,census_informed
age_band,60+,273,0.75,0.5567765567765568,0.4249084249084249,bank_marketing_full,clean,0.1,20260803,census_informed
marital,single,3226,0.657563025210084,0.15592064476131431,0.14755114693118412,bank_marketing_full,corrupted,0.1,20260803,census_informed
marital,married,6769,0.577304964539007,0.10149209632146551,0.10415127788447333,bank_marketing_full,corrupted,0.1,20260803,census_informed
marital,divorced,1308,0.5460992907801419,0.10091743119266056,0.10779816513761468,bank_marketing_full,corrupted,0.1,20260803,census_informed
age_band,30-44,5936,0.5912280701754385,0.09686657681940701,0.09602425876010781,bank_marketing_full,corrupted,0.1,20260803,census_informed
age_band,45-59,3395,0.5515320334261838,0.09396170839469808,0.10574374079528719,bank_marketing_full,corrupted,0.1,20260803,census_informed
age_band,<30,1699,0.628158844765343,0.16539140670982933,0.16303708063566805,bank_marketing_full,corrupted,0.1,20260803,census_informed
age_band,60+,273,0.7586206896551724,0.5384615384615384,0.4249084249084249,bank_marketing_full,corrupted,0.1,20260803,census_informed
marital,single,3226,0.6365546218487395,0.15282083075015498,0.14755114693118412,bank_marketing_full,quarantine,0.1,20260803,census_informed
marital,married,6769,0.5617021276595745,0.10252622248485743,0.10415127788447333,bank_marketing_full,quarantine,0.1,20260803,census_informed
marital,divorced,1308,0.574468085106383,0.10321100917431193,0.10779816513761468,bank_marketing_full,quarantine,0.1,20260803,census_informed
age_band,30-44,5936,0.5666666666666667,0.09501347708894879,0.09602425876010781,bank_marketing_full,quarantine,0.1,20260803,census_informed
age_band,45-59,3395,0.5571030640668524,0.09602356406480118,0.10574374079528719,bank_marketing_full,quarantine,0.1,20260803,census_informed
age_band,<30,1699,0.6064981949458483,0.1612713360800471,0.16303708063566805,bank_marketing_full,quarantine,0.1,20260803,census_informed
age_band,60+,273,0.7672413793103449,0.5787545787545788,0.4249084249084249,bank_marketing_full,quarantine,0.1,20260803,census_informed
marital,single,3226,0.657563025210084,0.16088034717916924,0.14755114693118412,bank_marketing_full,repair,0.1,20260803,census_informed
marital,married,6769,0.5602836879432624,0.0983897178312897,0.10415127788447333,bank_marketing_full,repair,0.1,20260803,census_informed
marital,divorced,1308,0.5602836879432624,0.10474006116207951,0.10779816513761468,bank_marketing_full,repair,0.1,20260803,census_informed
age_band,30-44,5936,0.5789473684210527,0.0963611859838275,0.09602425876010781,bank_marketing_full,repair,0.1,20260803,census_informed
age_band,45-59,3395,0.5376044568245125,0.09219440353460973,0.10574374079528719,bank_marketing_full,repair,0.1,20260803,census_informed
age_band,<30,1699,0.6353790613718412,0.16951147733961153,0.16303708063566805,bank_marketing_full,repair,0.1,20260803,census_informed
age_band,60+,273,0.7586206896551724,0.5457875457875457,0.4249084249084249,bank_marketing_full,repair,0.1,20260803,census_informed
marital,single,3226,0.6722689075630253,0.15468071915685058,0.14755114693118412,bank_marketing_full,clean,0.1,20260804,census_informed
marital,married,6769,0.5687943262411348,0.10267395479391343,0.10415127788447333,bank_marketing_full,clean,0.1,20260804,census_informed
marital,divorced,1308,0.5957446808510638,0.09785932721712538,0.10779816513761468,bank_marketing_full,clean,0.1,20260804,census_informed
age_band,30-44,5936,0.6017543859649123,0.09568733153638814,0.09602425876010781,bank_marketing_full,clean,0.1,20260804,census_informed
age_band,45-59,3395,0.5403899721448467,0.09425625920471281,0.10574374079528719,bank_marketing_full,clean,0.1,20260804,census_informed
age_band,<30,1699,0.6534296028880866,0.16715715126545028,0.16303708063566805,bank_marketing_full,clean,0.1,20260804,census_informed
age_band,60+,273,0.75,0.5494505494505495,0.4249084249084249,bank_marketing_full,clean,0.1,20260804,census_informed
marital,single,3226,0.6554621848739496,0.15406075635461872,0.14755114693118412,bank_marketing_full,corrupted,0.1,20260804,census_informed
marital,married,6769,0.5673758865248227,0.10149209632146551,0.10415127788447333,bank_marketing_full,corrupted,0.1,20260804,census_informed
marital,divorced,1308,0.5957446808510638,0.10550458715596331,0.10779816513761468,bank_marketing_full,corrupted,0.1,20260804,census_informed
age_band,30-44,5936,0.5894736842105263,0.09737196765498653,0.09602425876010781,bank_marketing_full,corrupted,0.1,20260804,census_informed
age_band,45-59,3395,0.5292479108635098,0.0898379970544919,0.10574374079528719,bank_marketing_full,corrupted,0.1,20260804,census_informed
age_band,<30,1699,0.6462093862815884,0.16774573278399058,0.16303708063566805,bank_marketing_full,corrupted,0.1,20260804,census_informed
age_band,60+,273,0.7844827586206896,0.5641025641025641,0.4249084249084249,bank_marketing_full,corrupted,0.1,20260804,census_informed
marital,single,3226,0.6449579831932774,0.15561066336019838,0.14755114693118412,bank_marketing_full,quarantine,0.1,20260804,census_informed
marital,married,6769,0.5460992907801419,0.09957157630373763,0.10415127788447333,bank_marketing_full,quarantine,0.1,20260804,census_informed
marital,divorced,1308,0.6028368794326241,0.11162079510703364,0.10779816513761468,bank_marketing_full,quarantine,0.1,20260804,census_informed
age_band,30-44,5936,0.5631578947368421,0.0963611859838275,0.09602425876010781,bank_marketing_full,quarantine,0.1,20260804,census_informed
age_band,45-59,3395,0.5348189415041783,0.09160530191458026,0.10574374079528719,bank_marketing_full,quarantine,0.1,20260804,census_informed
age_band,<30,1699,0.6245487364620939,0.1612713360800471,0.16303708063566805,bank_marketing_full,quarantine,0.1,20260804,census_informed
age_band,60+,273,0.7844827586206896,0.6043956043956044,0.4249084249084249,bank_marketing_full,quarantine,0.1,20260804,census_informed
marital,single,3226,0.6323529411764706,0.15406075635461872,0.14755114693118412,bank_marketing_full,repair,0.1,20260804,census_informed
marital,married,6769,0.5602836879432624,0.10223075786674546,0.10415127788447333,bank_marketing_full,repair,0.1,20260804,census_informed
marital,divorced,1308,0.5815602836879432,0.10168195718654434,0.10779816513761468,bank_marketing_full,repair,0.1,20260804,census_informed
age_band,30-44,5936,0.5649122807017544,0.09484501347708894,0.09602425876010781,bank_marketing_full,repair,0.1,20260804,census_informed
age_band,45-59,3395,0.5459610027855153,0.09248895434462445,0.10574374079528719,bank_marketing_full,repair,0.1,20260804,census_informed
age_band,<30,1699,0.6173285198555957,0.1683343143025309,0.16303708063566805,bank_marketing_full,repair,0.1,20260804,census_informed
age_band,60+,273,0.7672413793103449,0.5824175824175825,0.4249084249084249,bank_marketing_full,repair,0.1,20260804,census_informed
marital,single,3226,0.657563025210084,0.15499070055796652,0.14755114693118412,bank_marketing_full,clean,0.1,20260805,census_informed
marital,married,6769,0.5673758865248227,0.10252622248485743,0.10415127788447333,bank_marketing_full,clean,0.1,20260805,census_informed
