condition,model,seed,roc_auc,pr_auc,brier,n_train,status,dataset,rate,rule_set
corrupted,logreg,20260805,0.8989087587141743,0.544433547404884,0.07221378959280066,37299,ok,bank_marketing_full,0.1,naive
corrupted,hgb,20260805,0.9325291427388286,0.6209319522718858,0.06280653590062536,37299,ok,bank_marketing_full,0.1,naive
quarantine,logreg,20260805,0.8327850146746291,0.4404596917076983,0.09867694073670509,3222,ok,bank_marketing_full,0.1,naive
quarantine,hgb,20260805,0.8556560793798685,0.4667461525057018,0.09372483548854572,3222,ok,bank_marketing_full,0.1,naive
repair,logreg,20260805,0.9025154601609927,0.5338203819338748,0.07253668089073136,37299,ok,bank_marketing_full,0.1,naive
repair,hgb,20260805,0.9113614278627121,0.5572890267978166,0.07119148843900784,37299,ok,bank_marketing_full,0.1,naive
clean,logreg,20260806,0.9060187881937861,0.545662857696497,0.0714238474484318,33908,ok,bank_marketing_full,0.1,naive
clean,hgb,20260806,0.9337443866493085,0.6253713897892842,0.061942296331646184,33908,ok,bank_marketing_full,0.1,naive
corrupted,logreg,20260806,0.897933683681294,0.5461937071715076,0.07207866265686191,37299,ok,bank_marketing_full,0.1,naive
corrupted,hgb,20260806,0.9316903326607999,0.6087635993188659,0.06332690678592261,37299,ok,bank_marketing_full,0.1,naive
quarantine,logreg,20260806,0.8517510804568014,0.4498874782239472,0.09540399900896696,3199,ok,bank_marketing_full,0.1,naive
quarantine,hgb,20260806,0.8553220104582973,0.44279676153146186,0.10071184862824281,3199,ok,bank_marketing_full,0.1,naive
repair,logreg,20260806,0.9022549045910376,0.5359523798425434,0.07237327775586762,37299,ok,bank_marketing_full,0.1,naive
repair,hgb,20260806,0.9116350566833413,0.5721989019782625,0.07030575809448641,37299,ok,bank_marketing_full,0.1,naive
clean,logreg,20260807,0.9060187881937861,0.545662857696497,0.0714238474484318,33908,ok,bank_marketing_full,0.1,naive
clean,hgb,20260807,0.9340599635525351,0.6304585392520526,0.06171405739723577,33908,ok,bank_marketing_full,0.1,naive
corrupted,logreg,20260807,0.8946583228254713,0.5432333784528189,0.0726391775190695,37299,ok,bank_marketing_full,0.1,naive
corrupted,hgb,20260807,0.9322666924948627,0.6221146817372342,0.06283218971661024,37299,ok,bank_marketing_full,0.1,naive
quarantine,logreg,20260807,0.8407248355839785,0.4344322599314151,0.10288175022551284,3204,ok,bank_marketing_full,0.1,naive
quarantine,hgb,20260807,0.844869548662883,0.39724357131428323,0.10669293600292531,3204,ok,bank_marketing_full,0.1,naive
repair,logreg,20260807,0.9024238337258341,0.5348667914546521,0.0724347767833078,37299,ok,bank_marketing_full,0.1,naive
repair,hgb,20260807,0.9120077769547315,0.5591020961557139,0.07078575048972972,37299,ok,bank_marketing_full,0.1,naive
clean,logreg,20260803,0.9060187881937861,0.545662857696497,0.0714238474484318,33908,ok,bank_marketing_full,0.2,naive
clean,hgb,20260803,0.9338031594371211,0.627013134831943,0.06194953392850486,33908,ok,bank_marketing_full,0.2,naive
corrupted,logreg,20260803,0.8788788713684593,0.5298038447288842,0.07508146999373785,40690,ok,bank_marketing_full,0.2,naive
corrupted,hgb,20260803,0.9313869574582023,0.6179324331998071,0.06357433429231563,40690,ok,bank_marketing_full,0.2,naive
quarantine,logreg,20260803,0.8397479416640482,0.45440928575149675,0.08585239088546547,1668,ok,bank_marketing_full,0.2,naive
