dataset,tool,rate,seed,status,seconds,precision,recall,f1,n_detected
bank_marketing_full,GreatExpectations,0.3,20260804,ok,6.654,1.0,0.637088,0.778319,98838
bank_marketing_full,SodaCore/DuckDB,0.3,20260804,ok,0.502,1.0,0.751846,0.858347,116522
bank_marketing_full,PyDeequ,0.3,20260804,unavailable,,,,,0
bank_marketing_full,ZTLF (ours),0.3,20260805,ok,0.29,1.0,0.751802,0.858318,116264
bank_marketing_full,Pandera,0.3,20260805,ok,7.085,1.0,0.751802,0.858318,116264
bank_marketing_full,GreatExpectations,0.3,20260805,ok,8.0,1.0,0.636937,0.778206,98607
bank_marketing_full,SodaCore/DuckDB,0.3,20260805,ok,0.882,1.0,0.751802,0.858318,116264
bank_marketing_full,PyDeequ,0.3,20260805,unavailable,,,,,0
bank_marketing_full,ZTLF (ours),0.3,20260806,ok,0.296,1.0,0.752622,0.858853,116552
bank_marketing_full,Pandera,0.3,20260806,ok,7.86,1.0,0.752622,0.858853,116552
bank_marketing_full,GreatExpectations,0.3,20260806,ok,7.756,1.0,0.637945,0.778958,98896
bank_marketing_full,SodaCore/DuckDB,0.3,20260806,ok,0.519,1.0,0.752622,0.858853,116552
bank_marketing_full,PyDeequ,0.3,20260806,unavailable,,,,,0
bank_marketing_full,ZTLF (ours),0.3,20260807,ok,0.536,1.0,0.751218,0.857938,116226
bank_marketing_full,Pandera,0.3,20260807,ok,7.658,1.0,0.751218,0.857938,116226
bank_marketing_full,GreatExpectations,0.3,20260807,ok,7.475,1.0,0.636556,0.777922,98596
bank_marketing_full,SodaCore/DuckDB,0.3,20260807,ok,0.905,1.0,0.751218,0.857938,116226
bank_marketing_full,PyDeequ,0.3,20260807,unavailable,,,,,0
diabetes_130us,ZTLF (ours),0.01,20260803,ok,0.595,1.0,0.780418,0.876669,198173
diabetes_130us,Pandera,0.01,20260803,ok,12.353,1.0,0.780418,0.876669,198173
diabetes_130us,GreatExpectations,0.01,20260803,ok,21.036,1.0,0.66893,0.801627,6108
diabetes_130us,SodaCore/DuckDB,0.01,20260803,ok,1.139,1.0,0.780418,0.876669,198173
diabetes_130us,PyDeequ,0.01,20260803,unavailable,,,,,0
diabetes_130us,ZTLF (ours),0.01,20260804,ok,1.088,1.0,0.780077,0.876453,198173
diabetes_130us,Pandera,0.01,20260804,ok,11.035,1.0,0.780077,0.876453,198173
diabetes_130us,GreatExpectations,0.01,20260804,ok,22.239,1.0,0.668637,0.801417,6108
diabetes_130us,SodaCore/DuckDB,0.01,20260804,ok,1.192,1.0,0.780077,0.876453,198173
diabetes_130us,PyDeequ,0.01,20260804,unavailable,,,,,0
diabetes_130us,ZTLF (ours),0.01,20260805,ok,0.586,1.0,0.780504,0.876722,198173
diabetes_130us,Pandera,0.01,20260805,ok,12.408,1.0,0.780504,0.876722,198173
diabetes_130us,GreatExpectations,0.01,20260805,ok,20.484,1.0,0.669003,0.80168,6108
diabetes_130us,SodaCore/DuckDB,0.01,20260805,ok,1.212,1.0,0.780504,0.876722,198173
diabetes_130us,PyDeequ,0.01,20260805,unavailable,,,,,0
diabetes_130us,ZTLF (ours),0.01,20260806,ok,0.922,1.0,0.779565,0.87613,198173
diabetes_130us,Pandera,0.01,20260806,ok,12.546,1.0,0.779565,0.87613,198173
diabetes_130us,GreatExpectations,0.01,20260806,ok,21.734,1.0,0.668198,0.801102,6108
diabetes_130us,SodaCore/DuckDB,0.01,20260806,ok,1.824,1.0,0.779565,0.87613,198173
diabetes_130us,PyDeequ,0.01,20260806,unavailable,,,,,0
diabetes_130us,ZTLF (ours),0.01,20260807,ok,0.577,1.0,0.778628,0.875538,198173
diabetes_130us,Pandera,0.01,20260807,ok,11.989,1.0,0.778628,0.875538,198173
diabetes_130us,GreatExpectations,0.01,20260807,ok,20.806,1.0,0.667395,0.800524,6108
diabetes_130us,SodaCore/DuckDB,0.01,20260807,ok,1.217,1.0,0.778628,0.875538,198173
diabetes_130us,PyDeequ,0.01,20260807,unavailable,,,,,0
diabetes_130us,ZTLF (ours),0.05,20260803,ok,0.591,1.0,0.780043,0.876432,226663
